DateTime,PV Power Generation (from Inverter)(kWh),PV Power Generation (from Power Meter)(kWh),Excess Energy(kWh),Purchased Energy(kWh),Voltage A(v),Voltage B(v),Voltage C(v),Current(A),Current(B),Current(C),Frequency(Hz),Active Power(kW),Reactive Power(kW),PowerFactor,Ambient Temperature(°C),Irradiance(W/m2),Temperature Module1(°C),Temperature Module2(°C)
07/30/2023 15:00:00,102.5,92.31314,92.31314,0,12.95081,12.94399,12.98353,5.411824,5.459109,5.450623,49.79094,-211.5128,1.758902,0.9973236,29.9,192,35.3,35
07/30/2023 15:30:00,43.2,42.6015,42.6015,0,12.92136,12.89993,12.91486,3.502449,3.527614,3.54182,50.03209,135.1965,-0.9897725,0.9999499,29.1,122,33.5,33.1
07/30/2023 16:00:00,62,61.5531,61.5531,0,12.92518,12.90649,12.86653,2.596188,2.607652,2.621639,50.04475,100.5762,-0.5202823,0.9932323,28.8,90,32.1,31.8
07/30/2023 16:30:00,44.1,43.451,43.451,0,12.92453,12.90692,12.91669,1.575912,1.572626,1.59974,50.01403,60.8622,0.7610196,-0.9887092,28.6,55,31.1,30.8
07/30/2023 17:00:00,23.4,23.0544,23.0544,0,12.94346,12.99151,12.91247,0.8330764,0.8377208,0.8457259,50.0811,31.06844,2.272941,-0.9596579,28.3,30,29.5,29.3
07/30/2023 17:30:00,18,17.8333,17.8333,0,12.95624,12.94451,12.94987,0.9459496,0.9456586,0.9560258,49.80498,35.83257,2.35313,-0.9650697,28.2,34,28.8,28.7
07/30/2023 18:00:00,2.5,7.1479,7.1479,0,12.86776,12.92835,12.94295,0.2812831,0.2774311,0.2902053,50.0261,6.568667,2.963514,-0.6093631,27.7,6,27.7,27.6
07/31/2023 00:30:00,0,0,0,0,13.1319,13.12993,13.12297,0.06885863,0.05320824,0.06726609,50.24742,-0.4668456,2.385318,0.1876757,25.3,0,24.3,24.4
07/31/2023 01:00:00,0,0,0,0,13.12753,13.23535,13.15594,0.06927605,0.05309342,0.06754563,50.02332,-0.4693024,2.40138,0.1865951,25.3,0,24.5,24.6
07/31/2023 01:30:00,0,0,0,0,13.15973,13.14173,13.16329,0.06866667,0.05262462,0.06779464,49.79306,-0.4690689,2.385318,0.1903972,25.3,0,24.7,24.7
07/31/2023 02:00:00,0,0,0,0,13.12193,13.23423,13.16004,0.06878005,0.05261045,0.06738582,49.8046,-0.4652923,2.385318,0.1868033,25.5,0,24.9,24.9
07/31/2023 02:30:00,0,0,0,0,13.14038,13.24582,13.12344,0.06894366,0.05304205,0.06740857,50.24968,-0.4688557,2.40138,0.1875716,25.6,0,24.6,24.7
07/31/2023 03:00:00,0,0,0,0,12.94211,13.05056,12.96804,0.06864542,0.05257502,0.06756807,49.79303,-0.4537186,2.353192,0.1846022,25.5,0,24.5,24.5
07/31/2023 03:30:00,0,0,0,0,13.02265,13.00364,13.04838,0.06920647,0.05339602,0.06776468,50.2454,-0.4523989,2.385318,0.1826491,25.4,0,24.2,24.1
07/31/2023 04:00:00,0,0,0,0,13.03266,13.0153,13.00899,0.06935463,0.05339988,0.06824044,50.03298,-0.445739,2.385318,0.1791592,25.4,0,24.1,24.3
07/31/2023 04:30:00,0,0,0,0,12.98447,12.95688,12.96812,0.06894366,0.05300339,0.06811589,50.01068,-0.4515054,2.369255,0.1827532,25.3,0,24.3,24.2
07/31/2023 05:00:00,0,0,0,0,12.8803,12.97876,12.90775,0.06858164,0.05253605,0.06741354,49.77758,-0.4559318,2.337129,0.1873237,25.4,0,24.3,24.4
07/31/2023 05:30:00,0,0,0,0,12.92166,12.89643,12.87432,0.06873817,0.05284187,0.06706123,49.80038,-0.4514851,2.337129,0.1847063,25.7,0,24.8,24.9
07/31/2023 06:00:00,1.3,1.0881,1.0881,0,12.7785,12.75226,12.74762,0.3431177,0.3311607,0.346878,49.78775,9.788543,2.979639,-0.748132,25.9,12,25.3,25.3
07/31/2023 06:30:00,22.5,15.7237,15.7237,0,12.88818,12.88295,12.8689,1.735658,1.732449,1.765095,50.02,66.87541,0.3756706,-0.988451,26.4,65,26.2,26.2
07/31/2023 07:00:00,44.8,55.4653,55.4653,0,12.86663,12.97428,12.9002,4.14195,4.142391,4.169725,50.00236,160.614,-0.7570521,0.9988181,27.5,162,27.7,27.5
07/31/2023 07:30:00,66.4,102.273,102.273,0,12.89082,12.94713,12.98909,5.19029,5.243563,5.231977,49.76055,208.4874,-1.654241,0.9967936,28.9,290,31.5,30.9
07/31/2023 08:00:00,110.3,185.0291,185.0291,0,12.99613,13.11076,13.05394,11.77159,11.82959,11.83377,50.24866,462.7161,-10.37829,0.99872,31.2,402,40.6,40.2
07/31/2023 08:30:00,171.5,201.4663,201.4663,0,12.87034,12.93508,12.95865,9.357226,9.362104,9.355094,50.24035,362.4882,-4.176438,0.9995221,30.6,355,39.3,39.8
07/31/2023 09:00:00,131.8,183.189,183.189,0,12.86216,12.82571,12.89783,13.75421,13.86584,13.79338,49.93087,531.4459,-4.370698,0.999662,31.8,520,40.7,41.2
07/31/2023 09:30:00,158.6,233.385,233.385,0,12.86686,12.95026,12.98177,9.326392,9.428077,9.391612,49.91779,363.8822,-2.834823,0.9976199,31.6,351,41.4,42
07/31/2023 10:00:00,204.6,236.479,236.479,0,12.97781,12.92974,13.01192,12.48669,12.47455,12.46329,50.24083,485.2958,-9.284267,0.9996168,31.4,482,44.4,43.8
07/31/2023 10:30:00,171.2,284.537,284.537,0,13.00269,13.06033,13.06996,11.47862,11.46357,11.48415,49.98894,446.8946,-3.476834,0.9998079,31.5,468,47,46.2
07/31/2023 11:00:00,137.6,373.264,373.264,0,13.10347,13.1192,13.1104,21.27652,21.48613,21.27398,50.24557,839.1614,-40.47312,0.9992025,34.1,1025,62.8,61.3
07/31/2023 11:30:00,234.6,343.624,343.624,0,13.09558,13.09148,13.1123,19.02869,19.24436,19.05568,50.01205,752.9701,-33.27799,0.9964269,33.8,625,54.2,54.3
07/31/2023 12:00:00,204.4,296.479,296.479,0,13.15286,13.14188,13.15241,14.25692,14.35495,14.27706,50.03072,563.8916,-35.08204,0.9971371,33.5,601,51.5,52.8
07/31/2023 12:30:00,219.2,281.808,281.808,0,12.89062,12.94323,12.94958,22.32885,22.29823,22.2879,49.75822,866.7392,-40.73612,0.9964328,36.2,1120,60.2,61.3
